year,make,model,vehicle_class,combMPG,cylinders,displacement,drive,tran_type,fuel_type,co2
1985,3,2419,1,22.0,4,2.0,3,1,8,423.19047619047615
1985,35,2524,1,11.5,12,4.9,3,1,8,807.9090909090909
1985,28,891,7,28.0,4,2.2,2,1,8,329.1481481481481
1985,28,632,11,11.0,8,5.2,3,0,8,807.9090909090909
1993,113,1683,0,20.0,4,2.2,1,1,6,467.73684210526324
1993,113,1708,0,22.5,4,1.8,2,0,8,403.95454545454544
1993,113,1708,0,25.5,4,1.8,2,1,8,355.48
1993,119,1004,0,24.5,4,1.6,2,0,8,370.29166666666674
1993,119,1004,0,27.0,4,1.6,2,1,8,341.8076923076923
1993,119,1004,0,26.5,4,1.8,2,0,8,355.48
1993,119,1004,0,26.5,4,1.8,2,1,8,341.8076923076923
1993,124,1489,0,22.0,4,2.0,2,0,8,423.19047619047615
1993,124,1489,0,25.0,4,2.0,2,1,8,370.29166666666674
1993,124,1587,0,22.0,4,2.0,2,0,8,423.19047619047615
1985,28,632,11,13.5,8,5.2,3,0,8,683.6153846153846
1993,124,1587,0,24.0,4,2.0,2,1,8,386.39130434782606
1993,125,58,0,20.5,4,2.3,3,0,8,444.35
1993,125,58,0,22.5,4,2.3,3,1,8,423.19047619047615
1993,6,1,3,19.5,6,2.8,2,0,6,467.73684210526324
1993,6,1,3,20.5,6,2.8,2,1,6,467.73684210526324
1993,10,343,3,17.0,8,4.0,3,0,6,555.4375
1993,10,345,3,17.0,8,4.0,3,0,6,555.4375
1993,10,353,3,14.0,12,5.0,3,0,8,683.6153846153846
1993,17,882,3,24.5,4,2.2,2,0,8,386.39130434782606
1993,17,882,3,20.5,6,3.3,2,0,8,467.73684210526324
1985,28,632,11,14.0,8,5.2,3,1,8,683.6153846153846
1993,17,882,3,22.0,6,3.3,2,0,8,423.19047619047615
1993,17,2123,3,21.0,6,3.1,2,0,8,444.35
1993,17,2123,3,22.0,6,3.1,2,0,8,444.35
1993,17,2123,3,21.5,6,3.8,2,0,8,444.35
1993,17,2139,3,21.0,6,3.8,2,0,8,444.35
1993,20,1196,3,19.0,8,4.6,2,0,6,493.72222222222223
1993,20,1196,3,19.0,8,4.9,2,0,6,522.7647058823529
1993,20,2328,3,19.0,8,4.6,2,0,6,493.72222222222223
1993,20,2328,3,19.0,8,4.9,2,0,6,522.7647058823529
1993,21,1713,3,22.0,4,2.2,2,0,8,423.19047619047615
1985,28,632,11,14.0,8,5.2,3,1,8,683.6153846153846
1993,21,1713,3,21.0,6,3.1,2,0,8,444.35
1993,21,1713,3,22.0,6,3.1,2,0,8,444.35
1993,21,1713,3,19.5,6,3.4,2,0,8,493.72222222222223
1993,21,1713,3,19.5,6,3.4,2,1,8,493.72222222222223
1993,22,1900,3,21.0,6,3.3,2,0,8,444.35
1993,19,2803,3,16.0,6,3.0,2,1,6,592.4666666666667
1993,19,2805,3,16.0,6,3.0,2,0,6,592.4666666666667
1993,82,1815,3,20.0,6,3.0,2,0,6,467.73684210526324
1993,82,1815,3,20.5,6,3.0,2,0,6,467.73684210526324
1993,82,1815,3,21.0,6,3.0,2,1,6,444.35
1985,28,632,11,10.0,8,5.9,3,0,8,888.7
1993,28,1109,3,21.0,4,2.5,2,0,8,423.19047619047615
1993,28,1109,3,22.0,6,3.0,2,0,8,423.19047619047615
1993,28,1109,3,21.0,6,3.3,2,0,8,444.35
1993,28,2420,3,21.5,4,2.5,2,0,8,423.19047619047615
1993,28,2420,3,23.5,4,2.5,2,0,8,386.39130434782606
1993,28,2420,3,25.5,4,2.5,2,1,8,355.48
1993,28,2420,3,21.0,6,3.0,2,0,8,444.35
1993,28,2420,3,22.0,6,3.0,2,0,8,423.19047619047615
1993,37,2513,3,22.5,6,3.0,2,0,8,423.19047619047615
1993,37,2514,3,20.0,6,3.0,2,1,6,467.73684210526324
1985,28,652,11,10.5,8,5.2,3,0,8,888.7
1993,37,2513,3,21.0,6,3.8,2,0,8,444.35
1993,37,2525,3,20.5,6,3.8,3,0,8,444.35
1993,37,2525,3,18.0,6,3.8,3,0,6,522.7647058823529
1993,37,2525,3,18.5,6,3.8,3,1,6,493.72222222222223
1993,37,2525,3,18.5,8,5.0,3,0,8,493.72222222222223
1993,47,2391,3,21.5,4,2.0,2,0,8,444.35
1993,47,2391,3,21.0,4,2.0,2,1,8,444.35
1993,47,2391,3,19.0,6,3.0,2,0,8,493.72222222222223
1993,50,2010,3,17.5,8,4.5,3,0,6,522.7647058823529
1993,50,2011,3,16.0,8,4.5,3,0,6,592.4666666666667
1985,28,652,11,10.5,8,5.2,3,0,8,888.7
1993,64,1645,3,19.0,8,4.0,3,0,6,493.72222222222223
1993,77,1017,3,20.5,6,3.8,3,0,8,467.73684210526324
1993,77,1017,3,18.5,8,5.0,3,0,8,493.72222222222223
1993,77,2266,3,22.5,6,3.0,2,0,8,423.19047619047615
1993,77,2266,3,21.0,6,3.8,2,0,8,444.35
1993,73,313,3,24.5,4,2.0,2,0,8,386.39130434782606
1993,73,313,3,27.0,4,2.0,2,1,8,341.8076923076923
1993,73,313,3,20.0,6,2.5,2,0,6,467.73684210526324
1993,73,313,3,21.0,6,2.5,2,1,6,444.35
1993,73,450,3,19.5,6,3.0,3,0,6,467.73684210526324
1985,28,652,11,9.5,8,5.9,3,0,8,888.7
1993,83,1048,3,24.5,4,2.2,2,0,8,386.39130434782606
1993,83,1048,3,20.5,6,3.3,2,0,8,467.73684210526324
1993,83,1048,3,22.0,6,3.3,2,0,8,423.19047619047615
1993,83,1051,3,21.0,6,3.1,2,0,8,444.35
1993,83,1051,3,22.0,6,3.1,2,0,8,444.35
1993,83,1051,3,19.5,6,3.4,2,0,8,493.72222222222223
1993,83,1051,3,19.5,6,3.4,2,1,8,493.72222222222223
1993,83,2536,3,21.0,6,3.8,2,0,8,444.35
1993,92,555,3,21.5,4,2.5,2,0,8,423.19047619047615
1993,92,555,3,23.5,4,2.5,2,0,8,386.39130434782606
1985,37,1116,11,13.5,6,4.9,3,0,8,683.6153846153846
1993,92,555,3,25.5,4,2.5,2,1,8,355.48
1993,92,555,3,21.0,6,3.0,2,0,8,444.35
1993,92,555,3,22.0,6,3.0,2,0,8,423.19047619047615
1993,93,1506,3,21.0,6,3.1,2,0,8,444.35
1993,93,1506,3,22.0,6,3.1,2,0,8,444.35
1993,93,1506,3,19.5,6,3.4,2,0,8,493.72222222222223
1993,93,1506,3,19.5,6,3.4,2,1,8,493.72222222222223
1993,100,698,3,11.0,8,6.8,3,0,6,807.9090909090909
1993,100,2589,3,12.5,8,6.8,3,0,6,807.9090909090909
1993,100,2359,3,11.0,8,6.8,3,0,6,807.9090909090909
1985,37,1116,11,15.0,6,4.9,3,0,8,634.7857142857142
1993,119,813,3,22.0,4,2.2,2,0,8,423.19047619047615
1993,119,813,3,23.0,4,2.2,2,1,8,403.95454545454544
1993,119,813,3,19.0,6,3.0,2,0,8,467.73684210526324
1993,119,813,3,19.0,6,3.0,2,1,8,493.72222222222223
1993,124,1960,3,22.0,4,2.0,2,0,8,423.19047619047615
1993,124,1960,3,23.0,4,2.0,2,1,8,403.95454545454544
1993,124,1960,3,18.5,6,2.8,2,0,8,493.72222222222223
1993,124,1960,3,21.0,6,2.8,2,1,8,444.35
1993,125,372,3,22.0,5,2.4,2,0,8,423.19047619047615
1993,125,372,3,22.5,5,2.4,2,1,8,423.19047619047615
1985,28,891,7,22.5,4,2.2,2,1,6,423.19047619047615
1985,37,1116,11,16.0,6,4.9,3,1,8,555.4375
1993,125,451,3,19.5,4,2.3,3,0,8,467.73684210526324
1993,125,451,3,21.0,4,2.3,3,0,8,444.35
1993,125,463,3,19.0,6,2.9,3,0,8,493.72222222222223
1993,17,1679,5,21.5,6,3.8,2,0,8,444.35
1993,17,1953,5,20.0,6,3.8,2,0,6,493.72222222222223
1993,17,1953,5,21.0,6,3.8,2,0,8,444.35
1993,17,2141,5,19.0,8,5.7,3,0,8,522.7647058823529
1993,20,1086,5,19.0,8,4.9,2,0,6,522.7647058823529
1993,20,1340,5,19.0,8,5.7,3,0,8,522.7647058823529
1993,21,825,5,20.0,6,4.3,3,0,8,467.73684210526324
1985,37,1116,11,12.5,8,5.0,3,0,8,740.5833333333335
1993,21,825,5,19.5,8,5.0,3,0,8,493.72222222222223
1993,21,825,5,19.0,8,5.7,3,0,8,522.7647058823529
1993,22,945,5,22.0,6,3.3,2,0,8,423.19047619047615
1993,22,945,5,20.0,6,3.5,2,0,8,467.73684210526324
1993,22,1328,5,21.0,6,3.3,2,0,8,444.35
1993,22,1328,5,20.5,6,3.8,2,0,8,467.73684210526324
1993,28,1569,5,22.0,6,3.3,2,0,8,423.19047619047615
1993,28,1569,5,20.0,6,3.5,2,0,8,467.73684210526324
1993,30,2671,5,22.0,6,3.3,2,0,8,423.19047619047615
1993,30,2671,5,20.0,6,3.5,2,0,8,467.73684210526324
1985,37,1116,11,11.0,8,5.8,3,0,8,807.9090909090909
1993,37,1651,5,20.0,8,4.6,3,0,8,467.73684210526324
1993,65,949,5,19.5,6,3.8,2,0,8,493.72222222222223
1993,77,1504,5,20.0,8,4.6,3,0,8,467.73684210526324
1993,65,2539,5,20.0,8,4.6,3,0,8,467.73684210526324
1993,76,98,5,20.0,6,3.5,3,0,1,535.7894736842105
1993,76,101,5,16.0,6,3.2,3,0,6,592.4666666666667
1993,76,196,5,15.0,8,4.2,3,0,6,634.7857142857142
1993,76,247,5,14.0,8,5.0,3,0,6,683.6153846153846
1993,83,1183,5,21.5,6,3.8,2,0,8,444.35
1993,83,1906,5,21.0,6,3.8,2,0,8,444.35
1985,38,1383,11,15.0,6,4.3,3,0,8,592.4666666666667
1993,83,1906,5,20.0,6,3.8,2,0,6,493.72222222222223
1993,93,682,5,19.0,6,3.8,2,0,6,493.72222222222223
1993,93,682,5,21.5,6,3.8,2,0,8,444.35
1993,100,2364,5,11.0,8,6.8,3,0,6,807.9090909090909
1993,105,401,5,19.0,4,2.3,2,0,8,493.72222222222223
1993,105,401,5,19.0,4,2.3,2,0,8,493.72222222222223
1993,105,401,5,20.5,4,2.3,2,1,8,467.73684210526324
1993,105,401,5,21.0,4,2.3,2,1,8,444.35
1993,6,4,13,18.0,6,2.8,1,0,6,493.72222222222223
1993,10,257,13,19.5,6,2.5,3,0,6,467.73684210526324
1985,38,1383,11,16.0,6,4.3,3,0,8,555.4375
1993,21,862,13,24.5,4,2.2,2,0,8,386.39130434782606
1993,21,862,13,22.0,6,3.1,2,0,8,423.19047619047615
1993,19,2804,13,16.0,6,3.0,2,0,6,592.4666666666667
1993,37,1223,13,26.0,4,1.9,2,0,8,355.48
1993,37,1223,13,29.0,4,1.9,2,1,8,317.39285714285717
1993,45,560,13,21.0,4,2.2,2,0,8,423.19047619047615
1993,45,560,13,23.0,4,2.2,2,1,8,403.95454545454544
1993,77,2544,13,26.0,4,1.9,2,0,8,355.48
1993,77,2544,13,29.0,4,1.9,2,1,8,317.39285714285717
1993,108,2261,13,27.0,4,1.9,2,0,8,341.8076923076923
1985,38,1383,11,15.5,6,4.3,3,1,8,592.4666666666667
1993,108,2261,13,25.5,4,1.9,2,0,8,370.29166666666674
1993,108,2261,13,28.5,4,1.9,2,1,8,317.39285714285717
1993,108,2261,13,26.5,4,1.9,2,1,8,355.48
1993,113,1684,13,22.5,4,2.2,2,0,8,403.95454545454544
1993,113,1684,13,24.0,4,2.2,2,1,8,386.39130434782606
1993,113,1684,13,21.0,4,2.2,1,0,8,423.19047619047615
1993,113,1684,13,21.0,4,2.2,1,1,8,423.19047619047615
1993,113,1686,13,18.5,4,2.2,1,0,6,493.72222222222223
1993,113,1710,13,22.5,4,1.8,2,0,8,403.95454545454544
1993,113,1710,13,25.0,4,1.8,2,1,8,370.29166666666674
1985,38,1383,11,11.5,8,5.0,3,0,8,740.5833333333335
1993,119,1009,13,26.5,4,1.8,2,0,8,355.48
1993,119,1009,13,26.5,4,1.8,2,1,8,341.8076923076923
1993,17,884,12,22.0,4,2.2,2,0,8,423.19047619047615
1993,17,884,12,20.5,6,3.3,2,0,8,467.73684210526324
1993,17,884,12,22.0,6,3.3,2,0,8,423.19047619047615
1993,30,2462,12,20.5,4,1.8,1,0,8,444.35
1993,30,2462,12,23.5,4,1.8,2,0,8,386.39130434782606
1993,30,2462,12,21.5,4,1.8,1,1,8,423.19047619047615
1993,30,2462,12,23.5,4,1.8,2,1,8,386.39130434782606
1993,30,2462,12,19.5,4,2.4,1,0,8,467.73684210526324
1985,38,1383,11,14.0,8,5.0,3,0,8,634.7857142857142
1993,30,2462,12,21.0,4,2.4,2,0,8,444.35
1993,30,2462,12,19.5,4,2.4,1,1,8,467.73684210526324
1993,30,2462,12,22.5,4,2.4,2,1,8,423.19047619047615
1993,37,2515,12,22.5,6,3.0,2,0,8,423.19047619047615
1993,37,2515,12,21.0,6,3.8,2,0,8,444.35
1993,77,2268,12,22.5,6,3.0,2,0,8,423.19047619047615
1993,77,2268,12,21.0,6,3.8,2,0,8,444.35
1993,79,1244,12,19.5,4,2.4,1,0,8,467.73684210526324
1993,79,1244,12,21.0,4,2.4,2,0,8,444.35
1993,79,1244,12,19.5,4,2.4,1,1,8,467.73684210526324
1985,38,1383,11,13.5,8,5.7,3,0,8,683.6153846153846
1993,79,1244,12,22.5,4,2.4,2,1,8,423.19047619047615
1993,79,1245,12,23.5,4,1.8,2,0,8,386.39130434782606
1993,79,1245,12,20.5,4,1.8,1,0,8,444.35
1993,79,1245,12,23.5,4,1.8,2,1,8,386.39130434782606
1993,79,1245,12,21.5,4,1.8,1,1,8,423.19047619047615
1993,79,1245,12,21.0,4,2.4,2,0,8,444.35
1993,79,1245,12,19.5,4,2.4,1,0,8,467.73684210526324
1993,79,1245,12,22.5,4,2.4,2,1,8,423.19047619047615
1993,79,1245,12,19.5,4,2.4,1,1,8,467.73684210526324
1993,83,1049,12,22.0,4,2.2,2,0,8,423.19047619047615
1985,38,1383,11,18.5,8,6.2,3,0,1,565.5555555555555
1993,83,1049,12,20.5,6,3.3,2,0,8,467.73684210526324
1993,83,1049,12,22.0,6,3.3,2,0,8,423.19047619047615
1993,79,1097,12,20.0,6,3.0,2,0,6,467.73684210526324
1993,92,939,12,23.5,4,1.8,2,0,8,386.39130434782606
1993,92,939,12,20.5,4,1.8,1,0,8,444.35
1993,92,939,12,23.5,4,1.8,2,1,8,386.39130434782606
1993,92,939,12,21.5,4,1.8,1,1,8,423.19047619047615
1993,92,939,12,19.5,4,2.4,1,0,8,467.73684210526324
1993,92,939,12,21.0,4,2.4,2,0,8,444.35
1993,92,939,12,19.5,4,2.4,1,1,8,467.73684210526324
1985,28,891,7,21.5,4,2.2,2,1,6,444.35
1985,38,1383,11,17.5,8,6.2,3,1,1,598.8235294117648
1993,92,939,12,22.5,4,2.4,2,1,8,423.19047619047615
1993,119,817,12,22.0,4,2.2,2,0,8,423.19047619047615
1993,119,817,12,19.0,6,3.0,2,0,8,467.73684210526324
