year,make,model,vehicle_class,combMPG,cylinders,displacement,drive,tran_type,fuel_type,co2
1985,2,427,7,28.0,4,2.2,2,1,8,329.1481481481481
1985,2,294,11,11.0,8,5.2,3,0,8,807.9090909090909
1993,8,452,0,24.5,4,1.6,2,0,8,370.29166666666674
1993,8,452,0,27.0,4,1.6,2,1,8,341.8076923076923
1993,8,452,0,26.5,4,1.8,2,0,8,355.48
1993,8,452,0,26.5,4,1.8,2,1,8,341.8076923076923
1993,9,668,0,22.0,4,2.0,2,0,8,423.19047619047615
1993,9,668,0,25.0,4,2.0,2,1,8,370.29166666666674
1993,9,691,0,22.0,4,2.0,2,0,8,423.19047619047615
1985,2,294,11,13.5,8,5.2,3,0,8,683.6153846153846
1993,9,691,0,24.0,4,2.0,2,1,8,386.39130434782606
1993,0,194,3,17.0,8,4.0,3,0,6,555.4375
1993,0,196,3,17.0,8,4.0,3,0,6,555.4375
1993,0,203,3,14.0,12,5.0,3,0,8,683.6153846153846
1985,2,294,11,14.0,8,5.2,3,1,8,683.6153846153846
1993,1,726,3,22.0,4,2.2,2,0,8,423.19047619047615
1985,2,294,11,14.0,8,5.2,3,1,8,683.6153846153846
1993,1,726,3,21.0,6,3.1,2,0,8,444.35
1993,1,726,3,22.0,6,3.1,2,0,8,444.35
1993,1,726,3,19.5,6,3.4,2,0,8,493.72222222222223
1993,1,726,3,19.5,6,3.4,2,1,8,493.72222222222223
1993,7,777,3,20.0,6,3.0,2,0,6,467.73684210526324
1993,7,777,3,20.5,6,3.0,2,0,6,467.73684210526324
1993,7,777,3,21.0,6,3.0,2,1,6,444.35
1985,2,294,11,10.0,8,5.9,3,0,8,888.7
1993,2,491,3,21.0,4,2.5,2,0,8,423.19047619047615
1993,2,491,3,22.0,6,3.0,2,0,8,423.19047619047615
1993,2,491,3,21.0,6,3.3,2,0,8,444.35
1993,2,1028,3,21.5,4,2.5,2,0,8,423.19047619047615
1993,2,1028,3,23.5,4,2.5,2,0,8,386.39130434782606
